iteration,time,id,x,y,dx,dy
0,0.0,0,349.95004,252.48352,-0.049957275,-0.5164795
1,0.008333333333333333,0,349.93982,252.2106,-0.010223389,-0.2729187
2,0.016666666666666666,0,349.90308,252.76302,-0.036743164,0.55241394
3,0.025,0,350.13626,252.99396,0.23318481,0.23094177
4,0.03333333333333333,0,349.924,252.75952,-0.21224976,-0.23443604
5,0.041666666666666664,0,349.92587,252.7542,0.0018615723,-0.0053253174
6,0.05,0,349.883,253.12769,-0.042877197,0.37348938
7,0.058333333333333334,0,349.90216,252.54582,0.019165039,-0.5818634
8,0.06666666666666667,0,349.82956,252.6322,-0.07260132,0.086380005
9,0.075,0,349.8348,253.18558,0.0052490234,0.55337524
10,0.08333333333333333,0,349.78064,252.43657,-0.0541687,-0.7490082
11,0.09166666666666666,0,349.8042,253.02304,0.02355957,0.58647156
12,0.1,0,349.89572,253.18105,0.09152222,0.15800476
13,0.10833333333333334,0,349.8754,253.12941,-0.020324707,-0.051635742
14,0.11666666666666667,0,349.7158,252.49106,-0.15960693,-0.63835144
15,0.125,0,349.78293,252.72038,0.06713867,0.22932434
16,0.13333333333333333,0,349.86536,253.20683,0.08242798,0.4864502
17,0.14166666666666666,0,349.80774,252.39651,-0.057617188,-0.810318
18,0.15,0,349.8089,253.01218,0.001159668,0.6156616
19,0.15833333333333333,0,349.83505,253.20241,0.026153564,0.19023132
20,0.16666666666666666,0,349.85214,253.1881,0.017089844,-0.014312744
21,0.175,0,349.8886,253.21643,0.036468506,0.028335571
22,0.18333333333333332,0,349.90253,253.2016,0.013916016,-0.014831543
23,0.19166666666666668,0,349.86496,252.74652,-0.03756714,-0.45507812
24,0.2,0,349.85297,253.03749,-0.011993408,0.29096985
25,0.20833333333333334,0,349.89307,253.24863,0.040100098,0.21113586
26,0.21666666666666667,0,349.91617,253.15668,0.023101807,-0.09194946
27,0.225,0,349.8673,252.80473,-0.048858643,-0.35194397
28,0.23333333333333334,0,349.87396,253.23132,0.006652832,0.42658997
29,0.24166666666666667,0,349.91934,253.21297,0.04537964,-0.018356323
30,0.25,0,349.8601,252.66292,-0.05923462,-0.5500488
31,0.25833333333333336,0,349.86243,253.22046,0.002319336,0.5575409
32,0.26666666666666666,0,349.86386,252.99417,0.0014343262,-0.22628784
33,0.275,0,349.84958,252.35258,-0.014282227,-0.6415863
34,0.2833333333333333,0,349.84854,252.88336,-0.0010375977,0.530777
35,0.2916666666666667,0,349.87448,253.21884,0.025939941,0.33547974
36,0.3,0,349.82916,253.17212,-0.045318604,-0.046722412
37,0.30833333333333335,0,349.783,252.61975,-0.046173096,-0.55236816
38,0.31666666666666665,0,349.79895,253.15875,0.015960693,0.53900146
39,0.325,0,349.86453,253.16768,0.065582275,0.008926392
40,0.3333333333333333,0,349.7976,252.38792,-0.06692505,-0.77975464
41,0.3416666666666667,0,349.80765,252.96318,0.010040283,0.57525635
42,0.35,0,349.87332,253.22682,0.06567383,0.26364136
43,0.35833333333333334,0,349.81897,252.52673,-0.054351807,-0.7000885
44,0.36666666666666664,0,349.78207,252.76558,-0.036895752,0.23884583
45,0.375,0,349.97858,253.24869,0.19650269,0.48310852
46,0.38333333333333336,0,349.8373,252.84065,-0.14126587,-0.40803528
47,0.39166666666666666,0,349.7619,252.4356,-0.075408936,-0.4050598
48,0.4,0,350.0312,253.2076,0.2692871,0.7720032
49,0.4083333333333333,0,350.02618,253.18466,-0.005004883,-0.02293396
50,0.4166666666666667,0,349.7282,252.42783,-0.29797363,-0.75683594
51,0.425,0,349.75598,252.68507,0.027770996,0.25724792
52,0.43333333333333335,0,349.86783,253.24174,0.111846924,0.55667114
53,0.44166666666666665,0,349.8771,252.7297,0.009277344,-0.5120392
54,0.45,0,349.8394,252.44951,-0.037719727,-0.28019714
55,0.4583333333333333,0,349.84732,253.14027,0.00793457,0.6907654
56,0.4666666666666667,0,349.8778,253.14278,0.03048706,0.0025024414
57,0.475,0,349.8427,252.84392,-0.035095215,-0.29885864
58,0.48333333333333334,0,349.83847,253.17915,-0.0042419434,0.3352356
59,0.49166666666666664,0,349.9229,253.24554,0.08444214,0.06639099
60,0.5,0,349.90295,252.62231,-0.019958496,-0.62323
61,0.5083333333333333,0,349.9071,253.14577,0.0041503906,0.52345276
62,0.5166666666666667,0,349.94998,253.17851,0.042877197,0.03274536
63,0.525,0,349.9387,252.88461,-0.011291504,-0.29389954
64,0.5333333333333333,0,349.77365,252.33667,-0.16503906,-0.5479431
65,0.5416666666666666,0,349.83047,253.0119,0.05682373,0.67523193
66,0.55,0,350.0226,253.25885,0.19213867,0.24694824
67,0.5583333333333333,0,349.86893,252.61209,-0.15368652,-0.64675903
68,0.5666666666666667,0,349.85715,252.61694,-0.011779785,0.004852295
69,0.575,0,350.00232,253.19072,0.14517212,0.57377625
70,0.5833333333333334,0,349.94565,252.89983,-0.056671143,-0.29089355
71,0.5916666666666667,0,349.86768,252.40338,-0.07797241,-0.4964447
72,0.6,0,349.88785,252.99786,0.02017212,0.5944824
73,0.6083333333333333,0,349.90536,253.23497,0.01751709,0.23710632
74,0.6166666666666667,0,349.86783,252.55864,-0.03753662,-0.67633057
75,0.625,0,349.8493,252.7356,-0.01852417,0.17695618
76,0.6333333333333333,0,349.85712,253.24495,0.0078125,0.50935364
77,0.6416666666666667,0,349.90405,253.32979,0.046936035,0.08483887
78,0.65,0,349.85052,252.52872,-0.053527832,-0.80107117
79,0.6583333333333333,0,349.89685,253.27422,0.046325684,0.74549866
80,0.6666666666666666,0,349.85745,253.22374,-0.039398193,-0.050476074
81,0.675,0,349.8283,252.46884,-0.029144287,-0.7548981
82,0.6833333333333333,0,349.80716,252.73062,-0.021148682,0.2617798
83,0.6916666666666667,0,349.84177,253.27328,0.034606934,0.5426636
84,0.7,0,349.84885,252.78572,0.007080078,-0.4875641
85,0.7083333333333334,0,349.83337,252.40202,-0.015472412,-0.3836975
86,0.7166666666666667,0,349.8126,253.17221,-0.02078247,0.7701874
87,0.725,0,349.98434,253.21564,0.17175293,0.043426514
88,0.7333333333333333,0,349.9245,253.15923,-0.05984497,-0.056411743
89,0.7416666666666667,0,349.8754,252.86752,-0.049102783,-0.29170227
90,0.75,0,349.9435,253.15837,0.068115234,0.29084778
91,0.7583333333333333,0,349.96863,253.20454,0.025115967,0.046173096
92,0.7666666666666667,0,349.78024,252.5876,-0.18838501,-0.61694336
93,0.775,0,349.84637,253.16371,0.06613159,0.57611084
94,0.7833333333333333,0,350.04102,253.23453,0.19464111,0.07081604
95,0.7916666666666666,0,349.84384,252.38266,-0.19717407,-0.8518677
96,0.8,0,349.85413,252.91866,0.010284424,0.5359955
97,0.8083333333333333,0,349.9683,253.21057,0.11416626,0.2919159
98,0.8166666666666667,0,349.79364,252.60571,-0.1746521,-0.6048584
99,0.825,0,349.84622,252.60965,0.052581787,0.0039367676
100,0.8333333333333334,0,349.8229,253.25392,-0.02331543,0.64427185
101,0.8416666666666667,0,349.93134,253.2664,0.108428955,0.012481689
102,0.85,0,349.9026,252.93192,-0.028747559,-0.33448792
103,0.8583333333333333,0,349.89178,253.1274,-0.010803223,0.19548035
104,0.8666666666666667,0,349.89304,253.30577,0.0012512207,0.17837524
105,0.875,0,349.9172,253.18414,0.024169922,-0.12162781
106,0.8833333333333333,0,349.82355,252.56139,-0.09365845,-0.62275696
107,0.8916666666666667,0,349.82257,252.7532,-0.0009765625,0.19181824
108,0.9,0,349.87964,253.26599,0.05706787,0.51278687
109,0.9083333333333333,0,349.85995,252.89902,-0.019683838,-0.36697388
110,0.9166666666666666,0,349.8042,252.48703,-0.055755615,-0.4119873
111,0.925,0,349.99454,253.25089,0.19033813,0.763855
112,0.9333333333333333,0,349.9556,253.19939,-0.03894043,-0.051498413
113,0.9416666666666667,0,349.84796,252.49487,-0.1076355,-0.70451355
114,0.95,0,350.02966,253.24782,0.18170166,0.75294495
115,0.9583333333333334,0,349.9418,252.80545,-0.08786011,-0.44236755
116,0.9666666666666667,0,349.84308,252.48285,-0.098724365,-0.32260132
117,0.975,0,349.89673,253.22488,0.053649902,0.7420349
118,0.9833333333333333,0,349.96448,253.27841,0.06774902,0.053527832
119,0.9916666666666667,0,349.83914,252.44708,-0.1253357,-0.83132935
120,1.0,0,349.7781,252.88972,-0.061035156,0.4426422
121,1.0083333333333333,0,350.0594,253.2355,0.28128052,0.34577942
122,1.0166666666666666,0,349.8433,252.66756,-0.21609497,-0.5679474
123,1.025,0,349.84622,252.57526,0.0029296875,-0.092300415
124,1.0333333333333334,0,349.92554,253.32901,0.079315186,0.75375366
125,1.0416666666666667,0,349.84085,253.03438,-0.08468628,-0.29463196
126,1.05,0,349.82394,252.464,-0.016906738,-0.57037354
127,1.0583333333333333,0,349.88263,253.25282,0.058685303,0.78881836
128,1.0666666666666667,0,349.90732,253.22092,0.02468872,-0.031906128
129,1.075,0,349.89523,252.63843,-0.012084961,-0.582489
130,1.0833333333333333,0,349.91226,253.21584,0.017028809,0.57740784
131,1.0916666666666666,0,349.97723,253.25713,0.064971924,0.041290283
132,1.1,0,349.96268,252.9902,-0.014556885,-0.266922
133,1.1083333333333334,0,349.90668,252.44058,-0.055999756,-0.5496216
134,1.1166666666666667,0,349.94418,253.2244,0.037506104,0.7838135
135,1.125,0,349.87927,252.73656,-0.06491089,-0.48783875
136,1.1333333333333333,0,349.91275,253.25313,0.033477783,0.51657104
137,1.1416666666666666,0,349.93005,253.24721,0.017303467,-0.00592041
138,1.15,0,349.93042,252.98576,0.00036621094,-0.2614441
139,1.1583333333333334,0,349.88373,252.51906,-0.046691895,-0.46670532
140,1.1666666666666667,0,349.95883,253.24681,0.07510376,0.7277527
141,1.175,0,349.96112,253.23555,0.0022888184,-0.011260986
142,1.1833333333333333,0,349.86264,252.5134,-0.098480225,-0.7221527
143,1.1916666666666667,0,349.91617,253.22618,0.053527832,0.7127838
144,1.2,0,349.9766,253.2179,0.060424805,-0.008285522
145,1.2083333333333333,0,349.8753,252.75479,-0.10128784,-0.46310425
146,1.2166666666666666,0,349.87408,253.24709,-0.0012207031,0.4922943
147,1.225,0,349.9844,253.27852,0.110321045,0.031433105
148,1.2333333333333334,0,350.00204,252.99745,0.01763916,-0.2810669
149,1.2416666666666667,0,349.8721,252.84822,-0.12994385,-0.14923096
150,1.25,0,349.94296,253.2571,0.07086182,0.4088745
151,1.2583333333333333,0,349.9429,253.25691,-6.1035156e-05,-0.00018310547
152,1.2666666666666666,0,349.9053,252.70932,-0.037597656,-0.54759216
153,1.275,0,349.83685,252.55107,-0.06845093,-0.1582489
154,1.2833333333333334,0,349.80386,253.30676,-0.032989502,0.7556915
155,1.2916666666666667,0,349.84293,252.99306,0.0390625,-0.31370544
156,1.3,0,349.83743,252.43008,-0.005493164,-0.562973
157,1.3083333333333333,0,349.88516,253.26793,0.047729492,0.83784485
158,1.3166666666666667,0,349.8253,252.67624,-0.05987549,-0.59169006
159,1.325,0,349.817,252.69313,-0.008300781,0.01689148
160,1.3333333333333333,0,349.8344,253.29756,0.017425537,0.60443115
161,1.3416666666666666,0,349.89392,253.27231,0.059509277,-0.025253296
162,1.35,0,349.91544,252.94476,0.021514893,-0.32754517
163,1.3583333333333334,0,349.8739,252.4334,-0.041534424,-0.5113678
164,1.3666666666666667,0,349.89178,253.17796,0.0178833,0.7445679
165,1.375,0,349.8995,252.51917,0.0077209473,-0.6587982
166,1.3833333333333333,0,349.87253,252.72978,-0.026977539,0.21061707
167,1.3916666666666666,0,349.88528,253.21501,0.012756348,0.4852295
168,1.4,0,349.87585,252.80486,-0.009429932,-0.41015625
169,1.4083333333333334,0,349.83737,252.49622,-0.038482666,-0.30863953
170,1.4166666666666667,0,349.90442,253.22365,0.06704712,0.72743225
171,1.425,0,349.92706,253.13403,0.022644043,-0.08961487
172,1.4333333333333333,0,349.83466,252.53333,-0.09240723,-0.600708
173,1.4416666666666667,0,349.85272,253.27853,0.018066406,0.74520874
174,1.45,0,349.90363,253.26393,0.05090332,-0.014602661
