iteration,time,id,x,y,dx,dy
0,0.0,0,302.24713,249.78749,0.24713135,-0.21250916
1,0.008333333333333333,0,302.08032,248.78094,-0.16680908,-1.006546
2,0.016666666666666666,0,301.966,249.33298,-0.11431885,0.5520325
3,0.025,0,302.02304,249.85445,0.057037354,0.5214691
4,0.03333333333333333,0,302.142,250.12639,0.11895752,0.27194214
5,0.041666666666666664,0,302.1977,249.3706,0.05569458,-0.7557831
6,0.05,0,302.22208,249.22359,0.024383545,-0.14701843
7,0.058333333333333334,0,302.3608,249.88773,0.13873291,0.6641388
8,0.06666666666666667,0,302.4587,250.1569,0.09790039,0.2691803
9,0.075,0,302.38425,249.86961,-0.07446289,-0.28729248
10,0.08333333333333333,0,302.1631,249.0614,-0.22116089,-0.8082123
11,0.09166666666666666,0,302.31607,250.12656,0.15298462,1.065155
12,0.1,0,302.27505,249.3767,-0.041015625,-0.7498627
13,0.10833333333333334,0,302.24005,249.29419,-0.035003662,-0.08250427
14,0.11666666666666667,0,302.3727,250.116,0.13265991,0.82180786
15,0.125,0,302.3283,249.83578,-0.044403076,-0.2802124
16,0.13333333333333333,0,302.20224,249.5974,-0.12606812,-0.23838806
17,0.14166666666666666,0,302.3369,250.05185,0.13467407,0.4544525
18,0.15,0,302.33502,250.11404,-0.0018920898,0.062194824
19,0.15833333333333333,0,302.15286,249.15892,-0.18215942,-0.9551239
20,0.16666666666666666,0,302.2962,249.92168,0.14334106,0.76275635
21,0.175,0,302.27194,249.68039,-0.024261475,-0.24128723
22,0.18333333333333332,0,302.2167,249.07538,-0.055236816,-0.605011
23,0.19166666666666668,0,302.2313,249.61053,0.014587402,0.53515625
24,0.2,0,302.42197,250.14142,0.19067383,0.5308838
25,0.20833333333333334,0,302.3984,250.14835,-0.02355957,0.0069274902
26,0.21666666666666667,0,302.21622,249.363,-0.18218994,-0.78533936
27,0.225,0,302.2734,249.87044,0.05718994,0.50743103
28,0.23333333333333334,0,302.30814,250.17545,0.034729004,0.30500793
29,0.24166666666666667,0,302.23718,249.62648,-0.07095337,-0.54896545
30,0.25,0,302.09344,249.0536,-0.1437378,-0.572876
31,0.25833333333333336,0,302.31082,250.06477,0.21737671,1.0111694
32,0.26666666666666666,0,302.309,250.06087,-0.0018310547,-0.00390625
33,0.275,0,302.11252,249.08897,-0.19647217,-0.9718933
34,0.2833333333333333,0,302.2576,249.92812,0.14508057,0.83914185
35,0.2916666666666667,0,302.29242,250.22977,0.034820557,0.301651
36,0.3,0,302.17664,249.46727,-0.11578369,-0.76249695
37,0.30833333333333335,0,302.17834,249.69246,0.0017089844,0.22518921
38,0.31666666666666665,0,302.27344,250.05267,0.09509277,0.36021423
39,0.325,0,302.31488,249.94966,0.04144287,-0.103012085
40,0.3333333333333333,0,302.26807,249.16464,-0.046813965,-0.7850189
41,0.3416666666666667,0,302.30038,249.47887,0.032318115,0.31422424
42,0.35,0,302.48883,250.22437,0.18844604,0.74549866
43,0.35833333333333334,0,302.33575,249.47333,-0.15307617,-0.7510376
44,0.36666666666666664,0,302.22205,249.09169,-0.113708496,-0.38163757
45,0.375,0,302.38028,250.08548,0.15823364,0.9937897
46,0.38333333333333336,0,302.3132,249.90286,-0.06707764,-0.18261719
47,0.39166666666666666,0,302.22052,249.1185,-0.092681885,-0.7843628
48,0.4,0,302.2703,249.52196,0.04977417,0.40345764
49,0.4083333333333333,0,302.31076,249.9134,0.04046631,0.39144897
50,0.4166666666666667,0,302.26086,249.37804,-0.04989624,-0.5353699
51,0.425,0,302.2278,249.17542,-0.033050537,-0.20262146
52,0.43333333333333335,0,302.29596,249.84,0.06814575,0.6645813
53,0.44166666666666665,0,302.3206,249.8914,0.024627686,0.05140686
54,0.45,0,302.11258,249.06447,-0.20800781,-0.8269348
55,0.4583333333333333,0,302.18298,249.54453,0.07040405,0.48005676
56,0.4666666666666667,0,302.32306,250.15292,0.14007568,0.60839844
57,0.475,0,302.1623,249.38565,-0.1607666,-0.76727295
58,0.48333333333333334,0,302.13422,249.18275,-0.028076172,-0.20289612
59,0.49166666666666664,0,302.38608,250.18588,0.25186157,1.003128
60,0.5,0,302.1938,249.74478,-0.19229126,-0.44110107
61,0.5083333333333333,0,302.1786,249.02338,-0.015197754,-0.721405
62,0.5166666666666667,0,302.2332,249.56212,0.054595947,0.53874207
63,0.525,0,302.3309,250.0211,0.097717285,0.45898438
64,0.5333333333333333,0,302.3743,250.21346,0.043395996,0.1923523
65,0.5416666666666666,0,302.12595,249.22423,-0.24835205,-0.9892273
66,0.55,0,302.38052,250.23828,0.25457764,1.0140533
67,0.5583333333333333,0,302.39044,249.73218,0.009918213,-0.5061035
68,0.5666666666666667,0,302.28,249.04164,-0.110443115,-0.6905365
69,0.575,0,302.26416,249.5354,-0.015838623,0.49375916
70,0.5833333333333334,0,302.42618,250.04219,0.16201782,0.50679016
71,0.5916666666666667,0,302.33597,250.08623,-0.09020996,0.044036865
72,0.6,0,302.1979,249.37901,-0.13806152,-0.70721436
73,0.6083333333333333,0,302.25394,249.8587,0.056030273,0.47969055
74,0.6166666666666667,0,302.31256,250.20079,0.058624268,0.3420868
75,0.625,0,302.2576,249.13167,-0.05496216,-1.0691223
76,0.6333333333333333,0,302.29782,249.65723,0.040222168,0.5255585
77,0.6416666666666667,0,302.3099,249.93364,0.012084961,0.27641296
78,0.65,0,302.3757,250.14844,0.0657959,0.21479797
