iteration,time,id,x,y,dx,dy
0,0.0,0,312.0027,199.70177,0.0026855469,-0.29823303
1,0.008333333333333333,0,312.0031,199.95761,0.0004272461,0.25584412
2,0.016666666666666666,0,312.08066,200.2644,0.077545166,0.3067932
3,0.025,0,312.08713,199.78223,0.0064697266,-0.48217773
4,0.03333333333333333,0,312.08667,199.78276,-0.00045776367,0.0005340576
5,0.041666666666666664,0,312.0283,200.26773,-0.058380127,0.4849701
6,0.05,0,312.02652,200.00891,-0.0017700195,-0.25881958
7,0.058333333333333334,0,312.02853,199.55362,0.0020141602,-0.45529175
8,0.06666666666666667,0,312.06607,199.99266,0.03753662,0.43904114
9,0.075,0,312.13763,200.26248,0.07156372,0.26982117
10,0.08333333333333333,0,312.12723,199.74918,-0.010406494,-0.51330566
11,0.09166666666666666,0,311.92926,200.04716,-0.19796753,0.2979889
12,0.1,0,311.9733,199.58336,0.044036865,-0.46380615
13,0.10833333333333334,0,312.0162,199.85866,0.042907715,0.27529907
14,0.11666666666666667,0,312.09012,200.22116,0.073913574,0.36250305
15,0.125,0,312.12436,199.81993,0.034240723,-0.40122986
16,0.13333333333333333,0,312.07486,199.66522,-0.04949951,-0.15470886
17,0.14166666666666666,0,312.0285,200.1259,-0.0463562,0.4606781
18,0.15,0,312.0192,199.60599,-0.009307861,-0.5199127
19,0.15833333333333333,0,312.03104,199.85101,0.01184082,0.24502563
20,0.16666666666666666,0,312.09372,200.20572,0.062683105,0.3547058
21,0.175,0,312.08212,199.66948,-0.01159668,-0.5362396
22,0.18333333333333332,0,312.059,200.14418,-0.023132324,0.47470093
23,0.19166666666666668,0,312.03262,200.14235,-0.026367188,-0.0018310547
24,0.2,0,312.03363,199.61713,0.0010070801,-0.5252228
25,0.20833333333333334,0,312.05594,199.82532,0.02230835,0.20819092
26,0.21666666666666667,0,312.1104,200.19621,0.054473877,0.3708954
27,0.225,0,312.07632,199.6512,-0.034088135,-0.5450134
28,0.23333333333333334,0,312.034,200.09492,-0.04232788,0.4437256
29,0.24166666666666667,0,312.0338,199.6011,-0.00018310547,-0.4938202
30,0.25,0,312.06836,199.80115,0.0345459,0.20004272
31,0.25833333333333336,0,312.10825,200.18056,0.039886475,0.3794098
32,0.26666666666666666,0,312.1074,199.90971,-0.0008544922,-0.2708435
33,0.275,0,312.09973,199.61922,-0.007659912,-0.29049683
34,0.2833333333333333,0,312.0429,200.13542,-0.05682373,0.51620483
35,0.2916666666666667,0,312.04437,199.63037,0.0014648438,-0.50505066
36,0.3,0,312.07626,199.67384,0.03189087,0.04347229
37,0.30833333333333335,0,312.1097,200.1896,0.033447266,0.5157623
38,0.31666666666666665,0,312.1205,199.9457,0.010803223,-0.24391174
39,0.325,0,312.06918,199.9984,-0.051330566,0.052703857
40,0.3333333333333333,0,312.02277,200.23022,-0.046417236,0.23182678
41,0.3416666666666667,0,312.0197,199.69939,-0.0030517578,-0.530838
42,0.35,0,312.09885,200.21228,0.07913208,0.5128937
43,0.35833333333333334,0,312.104,199.95348,0.0051574707,-0.25880432
44,0.36666666666666664,0,312.08008,199.60847,-0.023925781,-0.34500122
45,0.375,0,312.036,199.91237,-0.044067383,0.30389404
46,0.38333333333333336,0,312.03625,199.68845,0.00024414062,-0.22392273
47,0.39166666666666666,0,312.06586,199.68088,0.02960205,-0.0075683594
48,0.4,0,312.11472,200.16165,0.048858643,0.48077393
49,0.4083333333333333,0,312.1504,200.041,0.03567505,-0.120651245
50,0.4166666666666667,0,312.1199,199.57454,-0.03048706,-0.46646118
51,0.425,0,312.02527,200.25856,-0.09463501,0.684021
52,0.43333333333333335,0,312.04138,199.68909,0.016113281,-0.56947327
53,0.44166666666666665,0,312.08606,200.17879,0.044677734,0.48970032
54,0.45,0,312.11212,200.11385,0.026062012,-0.064941406
55,0.4583333333333333,0,312.0594,199.85567,-0.052734375,-0.2581787
56,0.4666666666666667,0,312.00974,200.18394,-0.0496521,0.3282776
57,0.475,0,312.0183,199.72661,0.008575439,-0.45733643
58,0.48333333333333334,0,312.10614,200.06967,0.08782959,0.34306335
59,0.49166666666666664,0,312.16345,200.11739,0.05731201,0.047714233
60,0.5,0,312.13968,199.58586,-0.023773193,-0.53152466
61,0.5083333333333333,0,312.10776,199.82726,-0.031921387,0.24139404
62,0.5166666666666667,0,312.05392,200.23615,-0.053833008,0.40888977
63,0.525,0,312.07095,199.8269,0.017028809,-0.40924072
64,0.5333333333333333,0,312.0837,199.61458,0.012756348,-0.21232605
65,0.5416666666666666,0,312.13428,200.13676,0.050567627,0.5221863
66,0.55,0,312.1121,199.61926,-0.02218628,-0.51750183
67,0.5583333333333333,0,312.083,199.82845,-0.029083252,0.20918274
68,0.5666666666666667,0,312.05606,200.28873,-0.026947021,0.46028137
69,0.575,0,312.04443,199.87753,-0.011627197,-0.41119385
70,0.5833333333333334,0,312.06363,200.03716,0.019195557,0.15962219
71,0.5916666666666667,0,312.10538,200.16452,0.041748047,0.12736511
72,0.6,0,312.09772,199.65239,-0.007659912,-0.51213074
73,0.6083333333333333,0,312.0398,200.19296,-0.057922363,0.5405731
74,0.6166666666666667,0,312.03772,199.92287,-0.0020751953,-0.27009583
75,0.625,0,312.04636,199.60942,0.008636475,-0.31344604
76,0.6333333333333333,0,312.085,200.16147,0.038635254,0.5520477
77,0.6416666666666667,0,312.08215,199.65285,-0.0028381348,-0.5086212
78,0.65,0,312.02643,199.73189,-0.055725098,0.07904053
79,0.6583333333333333,0,312.0173,199.98433,-0.009124756,0.2524414
80,0.6666666666666666,0,312.02765,199.5391,0.010345459,-0.4452362
81,0.675,0,312.0521,199.98534,0.02444458,0.4462433
82,0.6833333333333333,0,312.09833,200.22777,0.04623413,0.24243164
83,0.6916666666666667,0,312.09195,199.70988,-0.006378174,-0.5178833
84,0.7,0,312.04416,200.21353,-0.047790527,0.50364685
85,0.7083333333333334,0,312.02118,199.95375,-0.022979736,-0.25978088
86,0.7166666666666667,0,312.02917,199.52385,0.0079956055,-0.42990112
87,0.725,0,312.09085,199.8937,0.061676025,0.3698578
88,0.7333333333333333,0,312.1192,200.20059,0.02835083,0.30688477
89,0.7416666666666667,0,312.09335,199.67116,-0.025848389,-0.5294342
90,0.75,0,312.04272,200.07799,-0.050628662,0.40682983
