iteration,time,id,x,y,dx,dy
0,0.0,0,303.94437,275.26294,-0.055633545,0.26293945
1,0.008333333333333333,0,303.93787,273.5033,-0.006500244,-1.7596436
2,0.016666666666666666,0,304.18433,273.65417,0.24645996,0.1508789
3,0.025,0,304.14883,275.43262,-0.035491943,1.7784424
4,0.03333333333333333,0,304.2205,274.49506,0.07165527,-0.93756104
5,0.041666666666666664,0,303.9278,273.16153,-0.2926941,-1.3335266
6,0.05,0,303.93063,274.68787,0.0028381348,1.5263367
7,0.058333333333333334,0,303.91684,273.40402,-0.013793945,-1.283844
8,0.06666666666666667,0,304.06815,273.6277,0.15130615,0.22366333
9,0.075,0,304.2965,275.36707,0.22836304,1.7393799
10,0.08333333333333333,0,304.3113,274.61484,0.014801025,-0.7522278
11,0.09166666666666666,0,304.06757,273.23438,-0.2437439,-1.3804626
12,0.1,0,303.81332,275.45355,-0.25424194,2.2191772
13,0.10833333333333334,0,303.9493,273.68295,0.13598633,-1.7705994
14,0.11666666666666667,0,304.1693,275.30875,0.22000122,1.6257935
15,0.125,0,304.2016,274.9945,0.032287598,-0.3142395
16,0.13333333333333333,0,303.9908,273.24237,-0.21078491,-1.7521362
17,0.14166666666666666,0,303.75314,275.54178,-0.2376709,2.299408
18,0.15,0,304.0047,273.2661,0.2515564,-2.2756653
19,0.15833333333333333,0,304.12036,274.95752,0.11566162,1.6914062
20,0.16666666666666666,0,304.0943,275.19382,-0.026062012,0.2362976
21,0.175,0,303.74588,273.97964,-0.3484192,-1.2141724
22,0.18333333333333332,0,303.8328,275.51987,0.08691406,1.5402222
23,0.19166666666666668,0,303.82816,274.24057,-0.004638672,-1.2792969
24,0.2,0,304.02664,273.19742,0.19848633,-1.0431519
25,0.20833333333333334,0,304.1874,274.82016,0.1607666,1.6227417
26,0.21666666666666667,0,304.22934,275.39786,0.041931152,0.57769775
27,0.225,0,304.17032,273.56207,-0.059020996,-1.8357849
28,0.23333333333333334,0,303.87396,275.36478,-0.2963562,1.8027039
29,0.24166666666666667,0,303.97665,273.12317,0.10269165,-2.2416077
30,0.25,0,304.13306,274.59674,0.15640259,1.4735718
31,0.25833333333333336,0,304.2788,275.59943,0.14575195,1.0026855
32,0.26666666666666666,0,304.1535,273.67194,-0.12530518,-1.9274902
33,0.275,0,304.0656,273.41235,-0.087890625,-0.25958252
34,0.2833333333333333,0,303.83862,275.28,-0.22698975,1.8676453
35,0.2916666666666667,0,303.8449,274.76178,0.006286621,-0.518219
