iteration,time,id,x,y,dx,dy
0,0.0,0,349.95337,252.66394,-0.04663086,-0.33605957
1,0.008333333333333333,0,349.69165,252.41133,-0.26171875,-0.25260925
2,0.016666666666666666,0,349.93524,252.86417,0.24359131,0.45283508
3,0.025,0,349.98886,252.8225,0.053619385,-0.041671753
4,0.03333333333333333,0,349.9297,252.8116,-0.059173584,-0.010894775
5,0.041666666666666664,0,349.90497,252.58977,-0.024719238,-0.22183228
6,0.05,0,349.91537,252.97658,0.010406494,0.3868103
7,0.058333333333333334,0,349.80164,252.70004,-0.11373901,-0.27653503
8,0.06666666666666667,0,349.74503,252.41043,-0.056610107,-0.28961182
9,0.075,0,349.6673,252.941,-0.07772827,0.53056335
10,0.08333333333333333,0,349.71695,252.44197,0.0496521,-0.49902344
11,0.09166666666666666,0,349.68393,252.67928,-0.03302002,0.23730469
12,0.1,0,349.95465,252.98961,0.27072144,0.31033325
13,0.10833333333333334,0,349.73846,252.72473,-0.21618652,-0.26487732
14,0.11666666666666667,0,349.74542,252.3753,0.006958008,-0.34942627
15,0.125,0,349.7501,252.90584,0.0046691895,0.53053284
16,0.13333333333333333,0,349.91666,252.9958,0.16656494,0.08996582
17,0.14166666666666666,0,349.88983,252.97562,-0.026824951,-0.020187378
18,0.15,0,349.674,252.7224,-0.21582031,-0.2532196
19,0.15833333333333333,0,349.89014,253.08778,0.21612549,0.36538696
20,0.16666666666666666,0,349.63635,252.33383,-0.25378418,-0.753952
21,0.175,0,349.68472,253.09393,0.04837036,0.7601013
22,0.18333333333333332,0,349.88974,253.09555,0.20501709,0.0016174316
23,0.19166666666666668,0,349.70087,252.3285,-0.18887329,-0.76704407
24,0.2,0,349.71164,252.86247,0.010772705,0.53396606
25,0.20833333333333334,0,349.7968,253.1019,0.08517456,0.23942566
26,0.21666666666666667,0,349.81866,253.09058,0.021850586,-0.0113220215
27,0.225,0,349.75665,252.52101,-0.06201172,-0.5695648
28,0.23333333333333334,0,349.77484,252.98587,0.018188477,0.464859
29,0.24166666666666667,0,349.82642,252.96693,0.051574707,-0.018936157
30,0.25,0,349.8435,252.78789,0.017089844,-0.17904663
31,0.25833333333333336,0,349.77792,252.82217,-0.065582275,0.0342865
32,0.26666666666666666,0,349.83093,253.08176,0.053009033,0.25958252
33,0.275,0,349.82254,253.10548,-0.008392334,0.023727417
34,0.2833333333333333,0,349.808,252.53964,-0.014526367,-0.5658417
35,0.2916666666666667,0,349.74442,252.51472,-0.06359863,-0.024917603
36,0.3,0,349.92862,253.09184,0.1842041,0.5771179
37,0.30833333333333335,0,349.67795,252.29907,-0.2506714,-0.7927704
38,0.31666666666666665,0,349.76804,252.8862,0.09008789,0.5871277
39,0.325,0,349.7806,252.99617,0.012573242,0.10997009
40,0.3333333333333333,0,349.7417,252.45686,-0.038909912,-0.53930664
41,0.3416666666666667,0,349.6936,252.5504,-0.048095703,0.09353638
42,0.35,0,349.7883,253.00345,0.094696045,0.4530487
43,0.35833333333333334,0,349.828,253.15349,0.03970337,0.15003967
44,0.36666666666666664,0,349.7112,252.76831,-0.11679077,-0.3851776
45,0.375,0,349.72366,252.9398,0.012451172,0.17149353
46,0.38333333333333336,0,349.8321,253.0432,0.108428955,0.103393555
47,0.39166666666666666,0,349.82336,253.02794,-0.008728027,-0.015258789
48,0.4,0,349.6517,252.67601,-0.17166138,-0.3519287
49,0.4083333333333333,0,349.883,253.14084,0.23129272,0.4648285
50,0.4166666666666667,0,349.7443,252.6321,-0.1387024,-0.5087433
51,0.425,0,349.71017,252.2973,-0.034118652,-0.3347931
52,0.43333333333333335,0,349.7433,252.96152,0.033111572,0.6642151
53,0.44166666666666665,0,349.7646,253.11974,0.02130127,0.15821838
54,0.45,0,349.82492,252.95055,0.060333252,-0.16918945
55,0.4583333333333333,0,349.77335,252.39192,-0.051574707,-0.55862427
56,0.4666666666666667,0,349.8221,253.00221,0.04876709,0.6102905
57,0.475,0,349.8564,252.99875,0.034301758,-0.0034637451
58,0.48333333333333334,0,349.82187,252.53574,-0.0345459,-0.4630127
59,0.49166666666666664,0,349.82846,252.96722,0.006591797,0.43148804
60,0.5,0,349.82706,253.02046,-0.0014038086,0.053237915
61,0.5083333333333333,0,349.76566,252.98695,-0.061401367,-0.0335083
62,0.5166666666666667,0,349.7592,252.77856,-0.0064697266,-0.20838928
63,0.525,0,349.84406,252.98228,0.084869385,0.2037201
64,0.5333333333333333,0,349.78946,253.17366,-0.054595947,0.19137573
65,0.5416666666666666,0,349.7426,252.5204,-0.046844482,-0.6532593
66,0.55,0,349.77362,252.97755,0.03100586,0.45715332
67,0.5583333333333333,0,349.82092,252.97643,0.047302246,-0.0011291504
68,0.5666666666666667,0,349.57642,252.33606,-0.24450684,-0.6403656
69,0.575,0,349.72336,252.78171,0.14694214,0.4456482
70,0.5833333333333334,0,349.82068,253.02873,0.09732056,0.24702454
71,0.5916666666666667,0,349.71634,252.49036,-0.1043396,-0.53837585
72,0.6,0,349.624,252.53151,-0.09234619,0.041152954
73,0.6083333333333333,0,349.7934,252.98247,0.16940308,0.45095825
74,0.6166666666666667,0,349.86014,253.00478,0.06674194,0.02230835
75,0.625,0,349.7986,252.73074,-0.061523438,-0.2740326
76,0.6333333333333333,0,349.74783,252.78487,-0.05078125,0.054122925
77,0.6416666666666667,0,349.7738,253.05504,0.025970459,0.27017212
78,0.65,0,349.81897,253.0625,0.045166016,0.007461548
79,0.6583333333333333,0,349.74603,252.5253,-0.07293701,-0.5372009
80,0.6666666666666666,0,349.8149,253.0318,0.068878174,0.50650024
81,0.675,0,349.8315,253.04617,0.016601562,0.014373779
82,0.6833333333333333,0,349.61945,252.30608,-0.21206665,-0.74009705
83,0.6916666666666667,0,349.64554,252.98248,0.02609253,0.67640686
84,0.7,0,349.74045,253.02141,0.09490967,0.03892517
85,0.7083333333333334,0,349.68805,252.27547,-0.05239868,-0.74594116
86,0.7166666666666667,0,349.6646,252.64749,-0.0234375,0.37202454
87,0.725,0,349.72144,253.03532,0.05682373,0.38783264
88,0.7333333333333333,0,349.79333,253.03714,0.071899414,0.0018157959
89,0.7416666666666667,0,349.61163,252.33087,-0.18170166,-0.7062683
90,0.75,0,349.66663,252.9146,0.054992676,0.583725
91,0.7583333333333333,0,349.74002,253.07079,0.073394775,0.15618896
92,0.7666666666666667,0,349.74957,252.97977,0.009552002,-0.09101868
93,0.775,0,349.65213,252.65144,-0.09744263,-0.32832336
94,0.7833333333333333,0,349.68625,252.89714,0.034118652,0.24569702
95,0.7916666666666666,0,349.7503,253.17259,0.0640564,0.27545166
96,0.8,0,349.6644,252.61845,-0.08590698,-0.5541382
97,0.8083333333333333,0,349.6371,252.36208,-0.027313232,-0.25637817
98,0.8166666666666667,0,349.84555,253.08678,0.20846558,0.7247009
99,0.825,0,349.8275,252.94682,-0.018035889,-0.13995361
100,0.8333333333333334,0,349.56833,252.30989,-0.2591858,-0.6369324
101,0.8416666666666667,0,349.8192,253.02704,0.250885,0.7171478
102,0.85,0,349.8436,253.03069,0.024383545,0.0036468506
103,0.8583333333333333,0,349.664,252.44124,-0.17959595,-0.589447
104,0.8666666666666667,0,349.7219,252.93317,0.057891846,0.4919281
