iteration,time,id,x,y,dx,dy
0,0.0,0,349.95438,253.14944,-0.04562378,0.14944458
1,0.008333333333333333,0,350.1716,252.80673,0.21722412,-0.3427124
2,0.016666666666666666,0,349.95865,252.54843,-0.21295166,-0.25830078
3,0.025,0,349.85535,252.82664,-0.103302,0.2782135
4,0.03333333333333333,0,349.86893,253.04652,0.013580322,0.21987915
5,0.041666666666666664,0,350.0419,253.00485,0.17297363,-0.041671753
6,0.05,0,349.85962,252.51817,-0.1822815,-0.48667908
7,0.058333333333333334,0,349.93756,253.03976,0.077941895,0.5215912
8,0.06666666666666667,0,349.92816,253.06879,-0.009399414,0.029022217
9,0.075,0,349.86832,252.31548,-0.05984497,-0.75331116
10,0.08333333333333333,0,349.8796,252.84041,0.011291504,0.52493286
11,0.09166666666666666,0,349.978,253.09258,0.09838867,0.25216675
12,0.1,0,349.93118,253.06961,-0.046813965,-0.022964478
13,0.10833333333333334,0,349.91473,252.61565,-0.016448975,-0.45396423
14,0.11666666666666667,0,349.91815,253.14012,0.0034179688,0.5244751
15,0.125,0,349.91818,252.66664,3.0517578e-05,-0.47348022
16,0.13333333333333333,0,349.87897,252.35925,-0.039215088,-0.3073883
17,0.14166666666666666,0,349.87915,252.91766,0.00018310547,0.55841064
18,0.15,0,349.93393,252.9392,0.054779053,0.021530151
19,0.15833333333333333,0,349.9551,252.28925,0.0211792,-0.6499481
20,0.16666666666666666,0,349.8798,252.57173,-0.07531738,0.28248596
21,0.175,0,349.91617,253.12451,0.036376953,0.55278015
22,0.18333333333333332,0,349.8692,252.39655,-0.046966553,-0.7279663
23,0.19166666666666668,0,349.91727,253.14015,0.048065186,0.74360657
24,0.2,0,349.91965,253.10875,0.002380371,-0.031402588
25,0.20833333333333334,0,349.94193,252.90016,0.022277832,-0.20858765
26,0.21666666666666667,0,349.87677,252.37117,-0.06515503,-0.5289917
27,0.225,0,349.8643,252.80817,-0.012481689,0.43699646
28,0.23333333333333334,0,349.9439,253.05948,0.07962036,0.25131226
29,0.24166666666666667,0,349.93204,252.53775,-0.011871338,-0.5217285
30,0.25,0,349.8781,252.53522,-0.05392456,-0.002532959
31,0.25833333333333336,0,349.93094,253.10097,0.052825928,0.5657501
32,0.26666666666666666,0,349.9604,253.06943,0.029449463,-0.031539917
33,0.275,0,349.71118,252.31392,-0.24920654,-0.7555084
34,0.2833333333333333,0,349.77316,252.80563,0.0619812,0.49171448
35,0.2916666666666667,0,349.9332,253.06767,0.16003418,0.26203918
36,0.3,0,349.92398,253.07826,-0.009216309,0.0105896
37,0.30833333333333335,0,349.89334,252.42139,-0.030639648,-0.6568756
38,0.31666666666666665,0,349.73413,252.57254,-0.1592102,0.15115356
39,0.325,0,349.87857,253.08144,0.1444397,0.5088959
40,0.3333333333333333,0,349.82773,252.78198,-0.050842285,-0.29945374
41,0.3416666666666667,0,349.79507,252.36604,-0.03265381,-0.41593933
42,0.35,0,349.80676,252.89534,0.011688232,0.5292969
43,0.35833333333333334,0,349.84113,253.13396,0.034362793,0.23861694
44,0.36666666666666664,0,349.85123,252.38196,0.010101318,-0.7519989
45,0.375,0,349.8306,252.60387,-0.020629883,0.22190857
46,0.38333333333333336,0,350.02307,253.13869,0.19247437,0.53482056
47,0.39166666666666666,0,349.84747,252.72426,-0.17559814,-0.4144287
48,0.4,0,349.81143,252.46445,-0.03604126,-0.2598114
49,0.4083333333333333,0,349.87524,252.97968,0.063812256,0.5152283
50,0.4166666666666667,0,349.90277,253.10826,0.027526855,0.12858582
51,0.425,0,349.81,252.34898,-0.09277344,-0.75927734
52,0.43333333333333335,0,349.8061,252.67776,-0.00390625,0.32878113
53,0.44166666666666665,0,349.875,253.04588,0.06890869,0.3681183
54,0.45,0,349.86517,252.63515,-0.00982666,-0.41073608
55,0.4583333333333333,0,349.8105,252.391,-0.0546875,-0.24414062
56,0.4666666666666667,0,349.89764,253.12288,0.0871582,0.73187256
57,0.475,0,349.9243,253.09293,0.026641846,-0.029953003
58,0.48333333333333334,0,349.90237,252.82175,-0.021911621,-0.2711792
59,0.49166666666666664,0,349.81873,252.27913,-0.08364868,-0.5426178
