iteration,time,id,x,y,dx,dy
0,0.0,0,349.00568,201.9801,0.0056762695,-0.019897461
1,0.008333333333333333,0,348.98288,202.50209,-0.02279663,0.5219879
2,0.016666666666666666,0,348.96332,202.29474,-0.019561768,-0.20735168
3,0.025,0,348.97192,201.83766,0.008605957,-0.45707703
4,0.03333333333333333,0,348.98486,202.32292,0.012939453,0.48526
5,0.041666666666666664,0,348.98688,202.54414,0.0020141602,0.22122192
6,0.05,0,348.97177,202.02844,-0.015106201,-0.5157013
7,0.058333333333333334,0,348.9487,201.99051,-0.023071289,-0.03793335
8,0.06666666666666667,0,348.89832,202.50021,-0.05038452,0.5097046
9,0.075,0,348.8872,202.30061,-0.011108398,-0.19960022
10,0.08333333333333333,0,348.90408,201.8245,0.01687622,-0.47612
11,0.09166666666666666,0,348.96564,202.54494,0.061553955,0.7204437
12,0.1,0,348.9827,202.08308,0.017059326,-0.46185303
13,0.10833333333333334,0,348.93668,201.96994,-0.046020508,-0.11314392
14,0.11666666666666667,0,348.87646,202.46097,-0.06021118,0.49102783
15,0.125,0,348.9538,202.18802,0.07733154,-0.27294922
16,0.13333333333333333,0,348.99252,202.54834,0.038726807,0.36032104
17,0.14166666666666666,0,348.98685,202.12384,-0.0056762695,-0.4244995
18,0.15,0,348.9024,202.41788,-0.08444214,0.29403687
19,0.15833333333333333,0,348.89212,202.42928,-0.010284424,0.011398315
20,0.16666666666666666,0,348.90738,201.90485,0.015258789,-0.5244293
21,0.175,0,348.96255,202.15578,0.05517578,0.2509308
22,0.18333333333333332,0,348.99362,202.56696,0.031066895,0.4111786
23,0.19166666666666668,0,348.9991,202.1835,0.005493164,-0.38345337
24,0.2,0,348.9167,202.41464,-0.08242798,0.23114014
25,0.20833333333333334,0,348.88104,202.46097,-0.03564453,0.046325684
26,0.21666666666666667,0,348.94278,202.0547,0.06173706,-0.40626526
27,0.225,0,348.96985,202.53877,0.027069092,0.48406982
28,0.23333333333333334,0,348.97235,202.25694,0.0025024414,-0.28182983
29,0.24166666666666667,0,348.8978,202.33595,-0.07455444,0.07901001
30,0.25,0,348.87616,202.50575,-0.021636963,0.1697998
31,0.25833333333333336,0,348.88345,201.98288,0.007293701,-0.5228729
32,0.26666666666666666,0,348.9291,202.0059,0.045654297,0.023025513
33,0.275,0,348.95715,202.52,0.028045654,0.5140991
34,0.2833333333333333,0,348.978,202.29527,0.020843506,-0.22473145
35,0.2916666666666667,0,348.90146,202.29666,-0.076538086,0.0013885498
36,0.3,0,348.8718,202.52505,-0.029663086,0.22839355
37,0.30833333333333335,0,348.89166,202.01463,0.019866943,-0.51042175
38,0.31666666666666665,0,348.9309,202.00583,0.039245605,-0.008804321
39,0.325,0,348.9642,202.31395,0.033294678,0.30812073
40,0.3333333333333333,0,348.96594,201.85236,0.001739502,-0.46159363
41,0.3416666666666667,0,348.92743,202.26369,-0.038513184,0.41133118
42,0.35,0,348.88263,202.52931,-0.044799805,0.265625
43,0.35833333333333334,0,348.92502,201.96753,0.042388916,-0.56178284
44,0.36666666666666664,0,348.9834,202.47542,0.058380127,0.5078888
45,0.375,0,349.00662,202.42636,0.023223877,-0.049057007
46,0.38333333333333336,0,348.98575,201.90018,-0.020874023,-0.5261841
47,0.39166666666666666,0,348.91754,202.19057,-0.06820679,0.29039
48,0.4,0,348.90146,202.11958,-0.016082764,-0.07098389
49,0.4083333333333333,0,348.91898,201.88358,0.01751709,-0.23600769
50,0.4166666666666667,0,348.96582,202.43547,0.046844482,0.55189514
51,0.425,0,348.96875,201.92905,0.0029296875,-0.50642395
52,0.43333333333333335,0,348.92316,202.17464,-0.04559326,0.24559021
53,0.44166666666666665,0,348.88113,202.57008,-0.042022705,0.39544678
54,0.45,0,348.916,201.86818,0.034851074,-0.7019043
55,0.4583333333333333,0,348.95667,202.38277,0.04067993,0.5145874
56,0.4666666666666667,0,348.98004,202.46893,0.023376465,0.08616638
57,0.475,0,348.93048,202.12852,-0.049560547,-0.34040833
58,0.48333333333333334,0,348.89398,202.56258,-0.036499023,0.4340515
59,0.49166666666666664,0,348.87283,202.20047,-0.021148682,-0.36210632
60,0.5,0,348.94882,202.35338,0.07598877,0.15290833
61,0.5083333333333333,0,348.98758,202.514,0.038757324,0.16062927
62,0.5166666666666667,0,348.989,201.97934,0.0014343262,-0.53466797
63,0.525,0,348.93994,202.04347,-0.049072266,0.06413269
64,0.5333333333333333,0,348.9108,202.28915,-0.029144287,0.24568176
65,0.5416666666666666,0,348.93945,201.84882,0.028656006,-0.44033813
66,0.55,0,348.965,202.3071,0.025543213,0.45828247
67,0.5583333333333333,0,348.9996,202.53706,0.034606934,0.22996521
68,0.5666666666666667,0,348.95718,202.01093,-0.042419434,-0.5261383
69,0.575,0,348.91577,202.50206,-0.041412354,0.49113464
70,0.5833333333333334,0,348.89392,202.29277,-0.021850586,-0.20928955
71,0.5916666666666667,0,348.9498,202.24188,0.055877686,-0.05088806
72,0.6,0,348.99783,202.51685,0.048034668,0.27496338
73,0.6083333333333333,0,349.00037,202.03831,0.002532959,-0.47853088
74,0.6166666666666667,0,348.90732,202.47969,-0.093048096,0.44137573
75,0.625,0,348.8884,202.33932,-0.018920898,-0.1403656
76,0.6333333333333333,0,348.95273,202.15536,0.064331055,-0.18395996
77,0.6416666666666667,0,348.98175,202.55981,0.029022217,0.40444946
78,0.65,0,348.99927,202.08058,0.01751709,-0.4792328
79,0.6583333333333333,0,348.94794,201.8848,-0.051330566,-0.19578552
80,0.6666666666666666,0,348.91046,202.42274,-0.037475586,0.5379486
81,0.675,0,348.87515,202.40173,-0.035308838,-0.021011353
82,0.6833333333333333,0,348.93088,202.14001,0.055725098,-0.26171875
83,0.6916666666666667,0,348.96432,202.55661,0.033447266,0.41659546
84,0.7,0,348.99136,202.16425,0.027038574,-0.3923645
85,0.7083333333333334,0,348.91846,202.40752,-0.072906494,0.24327087
86,0.7166666666666667,0,348.89722,202.4317,-0.021240234,0.02418518
