iteration,time,id,x,y,dx,dy
0,0.0,0,349.60446,252.4427,-0.39553833,-0.55729675
1,0.008333333333333333,0,349.5725,254.16313,-0.031951904,1.7204285
2,0.016666666666666666,0,349.79202,253.88242,0.21951294,-0.28071594
3,0.025,0,349.7524,252.0312,-0.039611816,-1.8512115
4,0.03333333333333333,0,349.87906,253.21481,0.12664795,1.183609
5,0.041666666666666664,0,349.93475,254.45935,0.05569458,1.2445374
6,0.05,0,349.8849,252.9274,-0.049865723,-1.5319519
7,0.058333333333333334,0,349.6283,252.34923,-0.2565918,-0.5781708
8,0.06666666666666667,0,349.62314,254.01819,-0.0051574707,1.6689606
9,0.075,0,349.52615,253.964,-0.09698486,-0.05418396
10,0.08333333333333333,0,349.5799,252.1196,0.053741455,-1.8444061
11,0.09166666666666666,0,349.85666,254.42319,0.27676392,2.3035889
12,0.1,0,349.81024,253.01935,-0.046417236,-1.4038391
13,0.10833333333333334,0,349.5494,253.85832,-0.26083374,0.838974
14,0.11666666666666667,0,349.53342,254.00307,-0.015991211,0.14474487
15,0.125,0,349.5287,252.14925,-0.0047302246,-1.8538208
16,0.13333333333333333,0,349.81885,252.84633,0.29016113,0.6970825
17,0.14166666666666666,0,349.879,254.3734,0.060150146,1.5270691
18,0.15,0,349.85648,253.14844,-0.022521973,-1.2249603
19,0.15833333333333333,0,349.54752,253.70421,-0.30895996,0.5557709
20,0.16666666666666666,0,349.54605,254.13841,-0.0014648438,0.4342041
21,0.175,0,349.58493,252.17097,0.038879395,-1.9674377
22,0.18333333333333332,0,349.83923,254.37917,0.25430298,2.208191
23,0.19166666666666668,0,349.67828,252.091,-0.1609497,-2.2881622
24,0.2,0,349.63162,253.59521,-0.046661377,1.5042114
25,0.20833333333333334,0,349.63037,254.28578,-0.0012512207,0.690567
26,0.21666666666666667,0,349.65555,252.29498,0.025177002,-1.990799
27,0.225,0,349.70166,252.52815,0.04611206,0.23316956
28,0.23333333333333334,0,349.89285,253.51498,0.19119263,0.98683167
29,0.24166666666666667,0,349.7062,252.22232,-0.18664551,-1.2926636
30,0.25,0,349.54358,253.45227,-0.16262817,1.22995
31,0.25833333333333336,0,349.52997,252.48654,-0.01361084,-0.96572876
32,0.26666666666666666,0,349.65338,252.40956,0.123413086,-0.07698059
33,0.275,0,349.8201,254.17647,0.16671753,1.7669067
34,0.2833333333333333,0,349.84262,253.66035,0.022521973,-0.5161133
35,0.2916666666666667,0,349.74866,252.14687,-0.09396362,-1.5134888
36,0.3,0,349.51492,253.31451,-0.23373413,1.1676483
37,0.30833333333333335,0,349.56622,254.34119,0.05130005,1.0266724
38,0.31666666666666665,0,349.66245,252.21881,0.096221924,-2.1223755
39,0.325,0,349.8848,254.04982,0.22235107,1.8310089
40,0.3333333333333333,0,349.8787,253.78798,-0.0061035156,-0.26184082
41,0.3416666666666667,0,349.5842,253.19766,-0.29449463,-0.5903168
42,0.35,0,349.4877,252.74881,-0.09649658,-0.44885254
43,0.35833333333333334,0,349.69128,252.21486,0.20358276,-0.5339508
44,0.36666666666666664,0,349.76968,253.9617,0.07839966,1.7468414
45,0.375,0,349.78287,253.96498,0.013183594,0.0032806396
46,0.38333333333333336,0,349.63187,252.93393,-0.15100098,-1.0310516
47,0.39166666666666666,0,349.4638,254.4014,-0.1680603,1.4674683
48,0.4,0,349.46768,252.91896,0.0038757324,-1.4824371
49,0.4083333333333333,0,349.63754,252.09227,0.16986084,-0.8266907
50,0.4166666666666667,0,349.86578,254.06924,0.22824097,1.9769745
51,0.425,0,349.68988,252.29323,-0.17590332,-1.7760162
52,0.43333333333333335,0,349.6282,252.80698,-0.061676025,0.51374817
53,0.44166666666666665,0,349.49374,254.38007,-0.13446045,1.5730896
54,0.45,0,349.4951,253.13748,0.0013427734,-1.2425842
55,0.4583333333333333,0,349.6773,252.03572,0.18222046,-1.1017609
56,0.4666666666666667,0,349.86652,253.75117,0.18920898,1.7154541
57,0.475,0,349.98642,254.23524,0.119903564,0.48406982
58,0.48333333333333334,0,349.83246,252.36092,-0.15396118,-1.8743286
59,0.49166666666666664,0,349.6286,254.33638,-0.20385742,1.9754639
60,0.5,0,349.56348,253.37439,-0.06512451,-0.96199036
61,0.5083333333333333,0,349.75656,252.02936,0.19308472,-1.3450317
62,0.5166666666666667,0,349.92404,254.28833,0.16748047,2.2589722
63,0.525,0,349.73502,252.48457,-0.18902588,-1.8037567
64,0.5333333333333333,0,349.66107,252.53781,-0.07394409,0.053237915
65,0.5416666666666666,0,349.46228,253.49472,-0.1987915,0.9569092
66,0.55,0,349.5809,251.99109,0.118621826,-1.5036316
67,0.5583333333333333,0,349.80124,253.35367,0.22033691,1.3625793
68,0.5666666666666667,0,349.78546,254.35046,-0.015777588,0.99679565
69,0.575,0,349.77966,252.63278,-0.00579834,-1.7176819
70,0.5833333333333334,0,349.48407,254.1824,-0.29559326,1.5496216
71,0.5916666666666667,0,349.56274,251.97733,0.07867432,-2.2050781
72,0.6,0,349.7113,253.20691,0.14855957,1.2295837
73,0.6083333333333333,0,349.77628,254.42984,0.064971924,1.2229309
74,0.6166666666666667,0,349.79202,252.77312,0.01574707,-1.656723
75,0.625,0,349.72592,252.43828,-0.066101074,-0.33483887
76,0.6333333333333333,0,349.51804,253.84692,-0.20788574,1.4086456
77,0.6416666666666667,0,349.56717,252.06293,0.0491333,-1.7839966
78,0.65,0,349.78067,253.01384,0.21350098,0.9509125
79,0.6583333333333333,0,349.8657,254.47955,0.08502197,1.4657135
80,0.6666666666666666,0,349.9189,252.92194,0.053222656,-1.5576172
81,0.675,0,349.5241,253.89375,-0.3948059,0.971817
82,0.6833333333333333,0,349.51724,252.12207,-0.006866455,-1.7716827
83,0.6916666666666667,0,349.73782,252.85568,0.22058105,0.73361206
84,0.7,0,349.9217,254.36823,0.18386841,1.5125427
85,0.7083333333333334,0,349.86832,253.09862,-0.053375244,-1.2696075
86,0.7166666666666667,0,349.6784,252.1665,-0.18991089,-0.93211365
87,0.725,0,349.50467,254.08995,-0.17373657,1.9234467
88,0.7333333333333333,0,349.53516,252.26524,0.03048706,-1.824707
89,0.7416666666666667,0,349.7353,252.75294,0.20013428,0.48770142
90,0.75,0,349.77167,253.28825,0.036376953,0.53530884
91,0.7583333333333333,0,349.71368,252.10048,-0.0579834,-1.1877747
92,0.7666666666666667,0,349.6792,253.65291,-0.034484863,1.5524292
93,0.775,0,349.61276,252.34248,-0.06643677,-1.3104248
94,0.7833333333333333,0,349.7995,252.56223,0.18673706,0.21974182
95,0.7916666666666666,0,349.8576,254.34198,0.05810547,1.7797546
96,0.8,0,349.85712,253.41365,-0.00048828125,-0.92832947
97,0.8083333333333333,0,349.64258,252.09727,-0.21453857,-1.3163757
98,0.8166666666666667,0,349.6207,253.56178,-0.021881104,1.464508
99,0.825,0,349.55948,254.29877,-0.06121826,0.73698425
100,0.8333333333333334,0,349.732,252.44148,0.17251587,-1.8572845
101,0.8416666666666667,0,349.89526,253.5489,0.16326904,1.1074219
102,0.85,0,349.84558,252.04953,-0.049682617,-1.4993744
103,0.8583333333333333,0,349.5626,253.2647,-0.2829895,1.2151642
104,0.8666666666666667,0,349.54138,254.29343,-0.021209717,1.0287323
105,0.875,0,349.60248,252.51234,0.06109619,-1.7810822
106,0.8833333333333333,0,349.77905,254.08353,0.1765747,1.5711823
107,0.8916666666666667,0,349.785,253.64107,0.0059509277,-0.4424591
108,0.9,0,349.79504,252.11143,0.010040283,-1.5296326
109,0.9083333333333333,0,349.51978,254.35245,-0.27526855,2.2410126
110,0.9166666666666666,0,349.5529,252.6675,0.033111572,-1.6849518
111,0.925,0,349.78574,252.22778,0.23284912,-0.43971252
112,0.9333333333333333,0,349.78986,253.96657,0.004119873,1.7387848
113,0.9416666666666667,0,349.7979,252.20876,0.008056641,-1.7578125
114,0.95,0,349.55573,254.42575,-0.2421875,2.2169952
115,0.9583333333333334,0,349.51706,252.83347,-0.03866577,-1.5922852
116,0.9666666666666667,0,349.72775,252.09709,0.21069336,-0.7363739
117,0.975,0,349.8497,253.86748,0.12194824,1.7703857
118,0.9833333333333333,0,349.72473,252.22632,-0.12496948,-1.641159
119,0.9916666666666667,0,349.64453,252.84879,-0.080200195,0.62246704
120,1.0,0,349.6417,254.41435,-0.0028381348,1.565567
121,1.0083333333333333,0,349.48294,252.92249,-0.15875244,-1.4918671
122,1.0166666666666666,0,349.66522,252.08055,0.1822815,-0.8419342
123,1.025,0,349.91714,254.06915,0.2519226,1.9886017
124,1.0333333333333334,0,349.7294,252.28413,-0.18774414,-1.7850189
125,1.0416666666666667,0,349.70346,252.78024,-0.025939941,0.496109
126,1.05,0,349.5003,254.3831,-0.20315552,1.6028595
127,1.0583333333333333,0,349.5219,253.1518,0.021606445,-1.231308
128,1.0666666666666667,0,349.67343,252.07907,0.15151978,-1.0727234
129,1.075,0,349.7367,253.68456,0.06326294,1.605484
130,1.0833333333333333,0,349.75812,252.4123,0.02142334,-1.2722626
131,1.0916666666666666,0,349.64288,252.65727,-0.115234375,0.24497986
132,1.1,0,349.5229,254.3418,-0.11999512,1.6845245
133,1.1083333333333334,0,349.56702,252.00407,0.044128418,-2.3377228
134,1.1166666666666667,0,349.77768,253.50261,0.21066284,1.4985352
